2025-07-15 11:59:08,603 INFO    MainThread:2897508 [wandb_setup.py:_flush():76] Configure stats pid to 2897508
2025-07-15 11:59:08,604 INFO    MainThread:2897508 [wandb_setup.py:_flush():76] Loading settings from /home/ucluser/.config/wandb/settings
2025-07-15 11:59:08,604 INFO    MainThread:2897508 [wandb_setup.py:_flush():76] Loading settings from /home/ucluser/isaacgym/python/examples/RL/predictive_model/wandb/settings
2025-07-15 11:59:08,604 INFO    MainThread:2897508 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2025-07-15 11:59:08,604 INFO    MainThread:2897508 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'python/examples/RL/predictive_model/imitate_episodes.py', 'program': 'imitate_episodes.py'}
2025-07-15 11:59:08,604 INFO    MainThread:2897508 [wandb_init.py:_log_setup():461] Logging user logs to /home/ucluser/isaacgym/python/examples/RL/predictive_model/wandb/run-20250715_115908-kvxnge0s/logs/debug.log
2025-07-15 11:59:08,604 INFO    MainThread:2897508 [wandb_init.py:_log_setup():462] Logging internal logs to /home/ucluser/isaacgym/python/examples/RL/predictive_model/wandb/run-20250715_115908-kvxnge0s/logs/debug-internal.log
2025-07-15 11:59:08,604 INFO    MainThread:2897508 [wandb_init.py:init():495] calling init triggers
2025-07-15 11:59:08,604 INFO    MainThread:2897508 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2025-07-15 11:59:08,604 INFO    MainThread:2897508 [wandb_init.py:init():548] starting backend
2025-07-15 11:59:08,604 INFO    MainThread:2897508 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-07-15 11:59:08,613 INFO    MainThread:2897508 [backend.py:ensure_launched():217] starting backend process...
2025-07-15 11:59:08,620 INFO    MainThread:2897508 [backend.py:ensure_launched():222] started backend process with pid: 2898600
2025-07-15 11:59:08,622 INFO    MainThread:2897508 [wandb_init.py:init():558] backend started and connected
2025-07-15 11:59:08,626 INFO    MainThread:2897508 [wandb_init.py:init():634] updated telemetry
2025-07-15 11:59:08,648 INFO    MainThread:2897508 [wandb_init.py:init():665] communicating run to backend with 30 second timeout
2025-07-15 11:59:12,538 INFO    MainThread:2897508 [wandb_run.py:_on_init():1919] communicating current version
2025-07-15 11:59:12,592 INFO    MainThread:2897508 [wandb_run.py:_on_init():1923] got version response upgrade_message: "wandb version 0.21.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2025-07-15 11:59:12,592 INFO    MainThread:2897508 [wandb_init.py:init():700] starting run threads in backend
2025-07-15 11:59:14,115 INFO    MainThread:2897508 [wandb_run.py:_console_start():1893] atexit reg
2025-07-15 11:59:14,115 INFO    MainThread:2897508 [wandb_run.py:_redirect():1766] redirect: SettingsConsole.REDIRECT
2025-07-15 11:59:14,115 INFO    MainThread:2897508 [wandb_run.py:_redirect():1771] Redirecting console.
2025-07-15 11:59:14,117 INFO    MainThread:2897508 [wandb_run.py:_redirect():1827] Redirects installed.
2025-07-15 11:59:14,117 INFO    MainThread:2897508 [wandb_init.py:init():732] run started, returning control to user process
2025-07-15 11:59:14,118 INFO    MainThread:2897508 [wandb_run.py:_config_callback():1131] config_cb None None {'num_steps': 87500, 'eval_every': 100000, 'validate_every': 2500, 'save_every': 2500, 'ckpt_dir': 'checkpoint_16_01/', 'resume_ckpt_path': 'checkpoint_16_01/policy_step_2500_seed_9.ckpt', 'episode_len': 250, 'state_dim': 8, 'lr': 0.0001, 'policy_class': 'ACT', 'onscreen_render': False, 'policy_config': {'lr': 0.0001, 'num_queries': 16, 'kl_weight': 10, 'hidden_dim': 512, 'dim_feedforward': 2048, 'lr_backbone': 1e-05, 'backbone': 'resnet18', 'enc_layers': 4, 'dec_layers': 7, 'nheads': 8, 'camera_names': ['cam1', 'cam2'], 'vq': False, 'vq_class': None, 'vq_dim': None, 'action_dim': 8, 'no_encoder': False}, 'task_name': 'all', 'seed': 9, 'temporal_agg': False, 'camera_names': ['cam1', 'cam2'], 'real_robot': True, 'load_pretrain': False, 'actuator_config': {'actuator_network_dir': None, 'history_len': None, 'future_len': None, 'prediction_len': None}}
